model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
DeepSeek 1.5B,161,1,0.0,0.0,0.0,3
DeepSeek 1.5B,162,2,0.35,0.16666666666666666,2.1,3
DeepSeek 1.5B,163,2,0.33333333333333337,0.4,0.8333333333333334,3
DeepSeek 1.5B,164,2,0.29999999999999993,0.35,0.857142857142857,3
DeepSeek 1.5B,165,1,0.0,0.0,0.0,3
DeepSeek 1.5B,166,1,0.0,0.0,0.0,3
DeepSeek 1.5B,167,1,0.13333333333333333,0.35,0.380952380952381,3
DeepSeek 1.5B,168,2,0.41666666666666663,0.36666666666666664,1.1363636363636362,3
DeepSeek 1.5B,169,1,0.45,0.7666666666666666,0.5869565217391305,3
DeepSeek 1.5B,170,1,0.4,0.55,0.7272727272727273,3
DeepSeek 1.5B,171,1,0.0,0.0,0.0,3
DeepSeek 1.5B,172,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,173,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,174,1,0.13333333333333333,0.3,0.4444444444444445,3
DeepSeek 1.5B,175,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,176,1,0.21666666666666665,0.21666666666666665,1.0,3
DeepSeek 1.5B,177,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,178,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,179,1,0.2,0.06666666666666667,3.0,3
DeepSeek 1.5B,180,2,0.35,0.65,0.5384615384615384,3
DeepSeek 1.5B,181,1,0.0,0.0,0.0,3
DeepSeek 1.5B,182,1,0.06666666666666667,0.1,0.6666666666666666,3
DeepSeek 1.5B,183,1,0.0,0.0,0.0,3
DeepSeek 1.5B,184,1,0.13333333333333333,0.2,0.6666666666666666,3
DeepSeek 1.5B,185,1,0.11666666666666665,0.3,0.38888888888888884,3
DeepSeek 1.5B,186,3,0.31666666666666665,0.26666666666666666,1.1875,3
DeepSeek 1.5B,187,1,0.1,0.1,1.0,3
DeepSeek 1.5B,188,1,0.0,0.0,0.0,3
DeepSeek 1.5B,189,1,0.06666666666666667,0.1,0.6666666666666666,3
DeepSeek 1.5B,190,1,0.06666666666666667,0.1,0.6666666666666666,3
DeepSeek 1.5B,191,1,0.0,0.0,0.0,3
DeepSeek 1.5B,192,1,0.26666666666666666,0.1,2.6666666666666665,3
DeepSeek 1.5B,193,1,0.0,0.0,0.0,3
DeepSeek 1.5B,194,1,0.03333333333333333,0.2,0.16666666666666666,3
DeepSeek 1.5B,195,1,0.03333333333333333,0.0,inf,3
DeepSeek 1.5B,196,1,0.18333333333333332,0.35,0.5238095238095238,3
DeepSeek 1.5B,197,1,0.0,0.0,0.0,3
DeepSeek 1.5B,198,1,0.33333333333333337,0.3,1.1111111111111114,3
DeepSeek 1.5B,199,2,0.2333333333333333,0.25,0.9333333333333332,3
DeepSeek 1.5B,200,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,201,1,0.15,0.3,0.5,3
DeepSeek 1.5B,202,1,0.06666666666666667,0.3,0.22222222222222224,3
DeepSeek 1.5B,203,1,0.03333333333333333,0.0,inf,3
DeepSeek 1.5B,204,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,205,1,0.0,0.0,0.0,3
DeepSeek 1.5B,206,1,0.06666666666666667,0.1,0.6666666666666666,3
DeepSeek 1.5B,207,2,0.15,0.3,0.5,3
DeepSeek 1.5B,208,1,0.08333333333333333,0.3,0.2777777777777778,3
DeepSeek 1.5B,209,1,0.0,0.0,0.0,3
DeepSeek 1.5B,210,1,0.0,0.0,0.0,3
DeepSeek 1.5B,211,3,0.5666666666666667,0.45,1.2592592592592593,3
DeepSeek 1.5B,212,1,0.03333333333333333,0.0,inf,3
DeepSeek 1.5B,213,1,0.13333333333333333,0.41666666666666663,0.32,3
DeepSeek 1.5B,214,2,0.3333333333333333,0.2833333333333333,1.1764705882352942,3
DeepSeek 1.5B,215,1,0.2833333333333333,0.55,0.5151515151515151,3
DeepSeek 1.5B,216,2,0.35,0.4,0.8749999999999999,3
DeepSeek 1.5B,217,2,0.25,0.4,0.625,3
DeepSeek 1.5B,218,2,0.3833333333333333,0.5333333333333333,0.71875,3
DeepSeek 1.5B,219,1,0.0,0.0,0.0,3
DeepSeek 1.5B,220,1,0.11666666666666665,0.4,0.29166666666666663,3
DeepSeek 1.5B,221,1,0.16666666666666666,0.3,0.5555555555555556,3
DeepSeek 1.5B,222,1,0.3,0.1,2.9999999999999996,3
DeepSeek 1.5B,223,1,0.2,0.21666666666666665,0.9230769230769232,3
DeepSeek 1.5B,224,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,225,1,0.15,0.11666666666666665,1.2857142857142858,3
DeepSeek 1.5B,226,3,0.5666666666666667,0.3,1.8888888888888888,3
DeepSeek 1.5B,227,2,0.31666666666666665,0.5,0.6333333333333333,3
